Name,Age,Nationality,Position,Old_Club,New_Club,Fee,Minutes_This_Season,Minutes_Last_season,Standing_Last_Season,Standing_This_Season,Passes,Assists,Goals,Yellow_Card,Red_Card,Kg,Height,Remaining contract,Titles
Terem Moffi,24,Nigeria,Centre-Forward,FC Lorient,OGC Nice,€22.50m,58,1949,5,4,274,2,11,3,3,87,188,11.9,2
Jérémie Boga,26,Cote d'Ivoire France,Left Winger,Atalanta BC,OGC Nice,€17.50m,0,2101,5,0,0,6,6,1,0,68,172,undefined,1
Isaak Touré,20,France Cote d'Ivoire,Centre-Back,Olympique Marseille,FC Lorient,€8.00m,0,2052,0,0,0,1,1,6,0,98,206,45,0
Keito Nakamura,23,Japan,Left Winger,LASK,Stade Reims,€12.00m,3265,1381,9,0,0,1,4,1,0,73,180,12,2
Mohamed Daramy,21,Denmark Sierra Leone,Left Winger,Ajax Amsterdam,Stade Reims,€12.00m,0,1648,9,0,0,5,4,1,0,71,180,34,5
Harry Kane,30,England,Centre-Forward,Tottenham Hotspur,Bayern Munich,€95.00m,2381,2839,3,1,474,8,36,5,0,86,188,10,4
Min-jae Kim,26,Korea South,Centre-Back,SSC Napoli,Bayern Munich,€42.00m,10,2765,3,0,1986,2,1,4,0,81,190,undefined,7
Daniel Peretz,23,Israel Germany,Goalkeeper,Maccabi Tel Aviv,Bayern Munich,€5.00m,521,556,2,0,0,0,0,0,0,89,190,10,5
Raphaël Guerreiro,29,Portugal France,Left-Back,Borussia Dortmund,Bayern Munich,free transfer,2078,1118,3,0,610,5,1,2,0,71,170,0,6
Konrad Laimer,26,Austria,Right-Back,RB Leipzig,Bayern Munich,free transfer,72,2713,3,0,0,4,1,3,0,72,180,0,9
Frans Krätzig,20,Germany,Left-Back,FC Bayern Munich II,Bayern Munich,-,1217,1255,3,16,0,3,1,5,0,67,177,undefined,1
Tarek Buchmann,18,Germany Togo,Centre-Back,FC Bayern Munich U19,Bayern Munich,-,0,732,0,0,0,0,1,0,0,86,188,undefined,undefined
Marcel Sabitzer,29,Austria,Central Midfield,Manchester United,Bayern Munich,End of loan,89,627,3,0,237,1,0,1,0,76,178,undefined,undefined
Bright Arrey-Mbi,20,Germany England,Centre-Back,Hannover 96,Bayern Munich,End of loan,0,2456,0,0,0,0,0,3,0,80,187,23.5,2
Gabriel Vidovic,19,Croatia Germany,Second Striker,Vitesse Arnhem,Bayern Munich,End of loan,0,0,0,0,0,0,0,0,0,76,180,0,5
Malik Tillman,21,United States Germany,Attacking Midfield,Rangers FC,Bayern Munich,End of loan,0,0,0,0,0,0,0,0,0,71,187,undefined,8
Alexander Nübel,26,Germany,Goalkeeper,AS Monaco,Bayern Munich,End of loan,3060,2700,2,9,0,0,0,0,0,86,193,0,3
Lucas Hernández,27,France Spain,Left-Back,Bayern Munich,Paris Saint-Germain,€45.00m,0,3027,1,0,1670,2,1,8,0,79,184,11.7,20
Ryan Gravenberch,21,Netherlands Suriname,Defensive Midfield,Bayern Munich,Liverpool FC,€40.00m,0,1848,3,0,415,2,4,0,0,77,190,46,9
Benjamin Pavard,27,France,Centre-Back,Bayern Munich,Inter Milan,€31.40m,0,2413,1,0,0,3,0,8,0,81,186,10,9
Sadio Mané,31,Senegal,Left Winger,Bayern Munich,Al-Nassr FC,€30.00m,2820,3951,2,0,0,11,19,6,0,69,174,22,9
Marcel Sabitzer,29,Austria,Central Midfield,Bayern Munich,Borussia Dortmund,€19.00m,2802,3036,5,0,0,9,6,5,1,76,178,23,7
Yann Sommer,34,Switzerland,Goalkeeper,Bayern Munich,Inter Milan,€6.90m,4320,3900,1,2,0,0,0,1,0,79,183,22.8,13
Malik Tillman,21,United States Germany,Attacking Midfield,Bayern Munich,PSV Eindhoven,Loan fee: €1.00m,1915,2277,1,0,0,10,9,0,0,71,187,34,7
Alexander Nübel,26,Germany,Goalkeeper,Bayern Munich,VfB Stuttgart,Loan fee: €1.00m,3060,2700,2,11,998,0,0,1,0,86,193,70,5
Bright Arrey-Mbi,20,Germany England,Centre-Back,Bayern Munich,Hannover 96,€620k,1135,2456,6,4,77,0,0,4,0,80,187,34,2
Gabriel Vidovic,19,Croatia Germany,Second Striker,Bayern Munich,GNK Dinamo Zagreb,Loan fee: €500k,187,2051,1,1,0,3,9,0,0,76,180,12.4,3
Daley Blind,33,Netherlands,Centre-Back,Bayern Munich,Girona FC,free transfer,58,2972,3,0,2465,2,1,1,0,72,180,0,16
Johannes Schenk,20,Germany,Goalkeeper,Bayern Munich,Preußen Münster,loan transfer,2970,720,2,15,0,0,0,0,0,85,191,11,1
Paul Wanner,17,Germany Austria,Attacking Midfield,Bayern Munich,SV 07 Elversberg,loan transfer,0,0,0,0,0,0,6,0,0,72,185,45,2
Arijon Ibrahimovic,17,Germany Kosovo,Attacking Midfield,Bayern Munich,Frosinone Calcio,loan transfer,8,474,18,0,163,1,1,1,0,69,176,undefined,2
Josip Stanisic,23,Croatia Germany,Right-Back,Bayern Munich,Bayer 04 Leverkusen,loan transfer,1769,2354,1,1,0,6,4,3,0,77,187,60,10
João Cancelo,29,Portugal,Right-Back,Bayern Munich,Manchester City,End of loan,3130,3318,0,0,0,5,4,7,0,74,182,undefined,16
Felix Nmecha,22,Germany England,Central Midfield,VfL Wolfsburg,Borussia Dortmund,€30.00m,1511,1021,5,4,0,2,1,3,0,73,190,11,3
Marcel Sabitzer,29,Austria,Central Midfield,Bayern Munich,Borussia Dortmund,€19.00m,2802,3036,5,0,0,9,6,0,0,76,178,23,5
Niclas Füllkrug,30,Germany,Centre-Forward,SV Werder Bremen,Borussia Dortmund,€17.25m,790,2212,5,0,353,2,12,0,0,82,189,22,8
Ramy Bensebaini,28,Algeria,Left-Back,Borussia Mönchengladbach,Borussia Dortmund,free transfer,7,1042,5,10,594,0,0,3,0,82,187,0,2
Ole Pohlmann,22,Germany,Attacking Midfield,Borussia Dortmund II,Borussia Dortmund,-,1594,2473,5,11,0,9,13,6,0,80,183,23.9,0
Thorgan Hazard,30,Belgium,Attacking Midfield,PSV Eindhoven,Borussia Dortmund,End of loan,671,1381,5,0,0,4,4,5,0,71,175,0,4
Ansgar Knauff,21,Germany Ghana,Right Winger,Eintracht Frankfurt,Borussia Dortmund,End of loan,0,2109,5,0,475,2,7,6,1,73,180,60,3
Jude Bellingham,20,England Ireland,Attacking Midfield,Borussia Dortmund,Real Madrid,€127.00m,0,0,0,0,0,0,0,0,0,75,186,24,5
Ansgar Knauff,21,Germany Ghana,Right Winger,Borussia Dortmund,Eintracht Frankfurt,€5.00m,1602,2506,6,3,274,3,8,5,0,73,180,5.5,2
Thorgan Hazard,30,Belgium,Attacking Midfield,Borussia Dortmund,RSC Anderlecht,€4.00m,671,1374,3,4,0,4,4,5,0,71,175,9,4
Tom Rothe,18,Germany,Left Midfield,Borussia Dortmund,Holstein Kiel,Loan fee: €350k,1673,2679,2,1,0,7,4,8,0,85,193,36,0
Anthony Modeste,35,France Martinique,Centre-Forward,Borussia Dortmund,Al Ahly FC,free transfer,0,764,1,0,0,1,4,0,0,84,187,10.9,5
Raphaël Guerreiro,29,Portugal France,Left-Back,Borussia Dortmund,Bayern Munich,free transfer,2078,1118,3,0,610,5,1,2,0,71,170,0,6
Mahmoud Dahoud,27,Syria Germany,Central Midfield,Borussia Dortmund,Brighton & Hove Albion,free transfer,867,452,11,3,284,1,0,4,0,68,178,undefined,4
Luca Unbehaun,22,Germany,Goalkeeper,Borussia Dortmund,SC Verl,free transfer,2970,2922,12,8,0,0,0,3,0,82,185,0,2
Felix Passlack,25,Germany,Right-Back,Borussia Dortmund,VfL Bochum,free transfer,2334,1192,16,18,262,2,2,1,0,74,170,0,3
Soumaïla Coulibaly,19,France Mali,Centre-Back,Borussia Dortmund,Royal Antwerp FC,loan transfer,0,0,0,5,0,0,0,0,0,73,191,34,1
Nico Schulz,30,Germany,Left-Back,Borussia Dortmund,Without Club,-,1850,0,7,0,0,0,0,0,0,83,181,12,4
