Name,Age,Nationality,Position,Old_Club,New_Club,Fee,Minutes_This_Season,Minutes_Last_season,Standing_Last_Season,Standing_This_Season,Passes,Assists,Goals,Yellow_Card,Red_Card,Kg,Height,Remaining contract,Titles
Matteo Marchisano,20,Italy,Right-Back,SSC Napoli,US Avellino 1912,free transfer,0,0,0,0,0,0,0,0,0,75,186,23.2,0
Giuseppe D'Agostino,22,Italy,Left Winger,SSC Napoli,Giugliano Calcio 1928,free transfer,85,0,0,0,0,0,0,0,0,undefined,170,23.4,undefined
Alessandro Spavone,21,Italy,Attacking Midfield,SSC Napoli,Guidonia Montecelio 1937 FC,free transfer,3,8,0,0,0,0,0,1,0,73,175,0,0
Francesco Gioielli,21,Italy,Defensive Midfield,SSC Napoli,Atletico Calcio Afragolese,free transfer,0,510,11,0,0,0,1,0,0,70,176,0,undefined
Francesco Mezzoni,25,Italy,Right-Back,SSC Napoli,Virtus Entella,free transfer,124,0,13,0,0,0,0,0,0,70,181,0,0
Gennaro Iaccarino,22,Italy,Central Midfield,SSC Napoli,SS Arezzo,loan transfer,2482,2209,8,0,0,0,1,8,0,60,175,undefined,undefined
Antonio Cioffi,22,Italy,Left Winger,SSC Napoli,US Livorno 1915,loan transfer,0,0,4,0,0,0,0,0,0,undefined,180,10.6,1
Claudio Turi,20,Italy,Goalkeeper,SSC Napoli,ASD Team Altamura,loan transfer,0,0,3,0,0,0,0,0,0,77,188,11,undefined
Lorenzo Sgarbi,24,Italy,Second Striker,SSC Napoli,Delfino Pescara 1936,loan transfer,131,0,6,0,0,0,0,0,0,82,189,10.6,undefined
Luigi D'Avino,19,Italy,Centre-Back,SSC Napoli,Giugliano Calcio 1928,loan transfer,0,0,5,5,0,0,0,0,0,82.55,186,23,0
Nosa Edward Obaretin,22,Italy,Centre-Back,SSC Napoli,FC Empoli,loan transfer,0,0,17,0,0,0,0,0,0,85,193,22,undefined
Emanuele Rao,19,Italy,Left Winger,SSC Napoli,SSC Bari,loan transfer,64,1276,14,0,0,1,1,2,1,75,181,59,0
Gianluca Vigliotti,20,Italy,Centre-Forward,SSC Napoli,Pineto Calcio,loan transfer,0,2898,7,0,0,1,15,10,1,73,180,11.3,undefined
Ange-Yoan Bonny,21,France,Centre-Forward,Parma Calcio 1913,Inter Milan,€23.00m,0,2546,1,0,0,4,6,0,0,80,189,23,1
